Magnetic Link para baixar todos de uma vez (Tamanho: 371.49 Gb);magnet:?xt=urn:btih:009a0979afcf4bd3e52abc889d9e7a2652c009c4&dn=1389+sony+playstation+roms&tr=udp%3A%2F%2Ftracker.openbittorrent.com%3A80%2Fannounce&tr=udp%3A%2F%2Fglotorrents.pw%3A6969%2Fannounce
Action Bass [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Action%20Bass%20%28USA%29.7z
Action Man - Mission Xtreme (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Action%20Man%20-%20Mission%20Xtreme%20%28E%29%20%5BSLES-01761%5D.7z
Action Man - Operation Extreme [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Action%20Man%20-%20Operation%20Extreme%20%28USA%29.7z
Action Puzzle - Prism Land (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Action%20Puzzle%20-%20Prism%20Land%20%28Japan%29%20%5BSLPS-02586%5D.rar
Action Replay 2 Version 2.30 [U] (En,Fr,Es,Pt) (Disc 2) (Bonus PSone Codes!) (Unl);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Action%20Replay%202%20Version%202.30%20%28USA%29%20%28En%2CFr%2CEs%2CPt%29%20%28Disc%202%29%20%28Bonus%20PSone%20Codes%21%29%20%28Unl%29.7z
Activision Classics [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Activision%20Classics%20%28USA%29.7z
Actua Golf 3 (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Golf%203%20%28E%29%20%5BSLES-01042%5D.rar
Actua Ice Hockey 2 (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Ice%20Hockey%202%20%28E%29%20%5BSLES-01226%5D.rar
Actua Soccer (E) (v1.0);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Soccer%20%28E%29%20%28v1.0%29%20%5BSLES-00014%5D.rar
Actua Soccer (E) (v1.1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Soccer%20%28E%29%20%28v1.1%29%20%5BSLES-00014%5D.rar
Actua Soccer 2 (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Soccer%202%20%28E%29%20%5BSLES-00021%5D.rar
Actua Tennis (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Actua%20Tennis%20%28E%29%20%5BSLES-00265%5D.rar
Ad Lib Ouji... to Fuyukai na Nakamatachi (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Ad%20Lib%20Ouji...%20to%20Fuyukai%20na%20Nakamatachi%20%28Japan%29%20%5BSLPS-03510%5D.rar
Addie no Okurimono - To Moze from Addie (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Addie%20no%20Okurimono%20-%20To%20Moze%20from%20Addie%20%28Japan%29.7z
Adidas Power Soccer;http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Adidas%20Power%20Soccer%20%28USA%29.7z
Adidas Power Soccer '98 [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Adidas%20Power%20Soccer%2098%20%28USA%29.7z
Adidas Power Soccer (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Adidas%20Power%20Soccer%20%28E%29%20%5BSLES-00189%5D.rar
Adidas Power Soccer International '97 (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Adidas%20Power%20Soccer%20International%20%2797%20%28E%29%20%5BSLES-00270%5D.rar
Advan Racing (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Advan%20Racing%20%28Japan%29%20%5BSLPS-01689%5D.rar
Advanced Dungeons & Dragons - Iron & Blood - Warriors of Ravenloft [U] (Demo);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Advanced%20Dungeons%20%26%20Dragons%20-%20Iron%20%26%20Blood%20-%20Warriors%20of%20Ravenloft%20%28USA%29%20%28Demo%29.7z
Advanced V.G. 2 (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Advanced%20V.G.%202%20%28Japan%29%20%5BSLPM-87226%5D.rar
Advanced Variable Geo (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Advanced%20Variable%20Geo%20%28Japan%29%20%5BSLPS-00208%5D.rar
Adventure of Phix [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Phix%20-%20The%20Adventure%20%28USA%29.7z
Adventures of Alundra, The (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Adventures%20of%20Alundra%2C%20The%20%28E%29%20%5BSLES-01135%5D.7z
Adventures of Lomax [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Adventures%20of%20Lomax%2C%20The%20%28USA%29.7z
Aero Dive (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Aero%20Dive%20%28Japan%29.7z
Afraid Gear (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Afraid%20Gear%20%28Japan%29%20%5BSLPS-00995%5D.rar
Afraid Gear Another (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Afraid%20Gear%20Another%20%28Japan%29%20%5BSLPM-86834%5D.rar
Agent Armstrong (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Agent%20Armstrong%20%28Japan%29%20%5BSLPS-01073%5D.rar
Agile Warrior F-111X [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Agile%20Warrior%20F-111X%20%28USA%29.7z
Ai to Yuujou no Neko Monogatari. - Jingle Cats - Love Para Daisakusen no Maki (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Ai%20to%20Yuujou%20no%20Neko%20Monogatari.%20-%20Jingle%20Cats%20-%20Love%20Para%20Daisakusen%20no%20Maki%20%28Japan%29.7z
Air Combat (E);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-PAL/Air%20Combat%20%28E%29%20%5BSCES-00007%5D.rar
Air Combat [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Air%20Combat%20%28USA%29.7z
Air Hockey [U];http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/PSX-Redump/Air%20Hockey%20%28USA%29.7z
Airgrave (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Airgrave%20%28Japan%29%20%5BSLPS-00559%5D.rar
AirRace Championship (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/AirRace%20Championship%20%28Japan%29.7z
Aishiau Koto Shika Dekinai (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Aishiau%20Koto%20Shika%20Dekinai%20%28J%29%20%5BSLPS-01096%5D.rar
Aitakute... Your Smiles in My Heart (Japan) (Disc 1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aitakute...%20Your%20Smiles%20in%20My%20Heart%20%28Japan%29%20%28Disc%201%29%20%5BSLPM-86254%5D.rar
Aitakute... Your Smiles in My Heart (Japan) (Disc 2);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aitakute...%20Your%20Smiles%20in%20My%20Heart%20%28Japan%29%20%28Disc%202%29%20%5BSLPM-86255%5D.rar
Aitakute... Your Smiles in My Heart (Japan) (Disc 3);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aitakute...%20Your%20Smiles%20in%20My%20Heart%20%28Japan%29%20%28Disc%203%29%20%5BSLPM-86256%5D.rar
Aitakute... Your Smiles in My Heart (Japan) (Disc 4);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aitakute...%20Your%20Smiles%20in%20My%20Heart%20%28Japan%29%20%28Disc%204%29%20%5BSLPM-86257%5D.rar
Aizouban Houshinengi (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/bks/nr/PSX-Asia-Non-Redump/Aizouban%20Houshinengi%20%28Japan%29%20%5BSLPM-86209%5D.rar
Akagawa Jiro - Majo Tachi no Nemuri - Fukkatsusai (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Akagawa%20Jiro%20-%20Majo%20Tachi%20no%20Nemuri%20-%20Fukkatsusai%20%28Japan%29.7z
Akagawa Jiro - Yasoukyoku (Japan) (v1.0);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Akagawa%20Jiro%20-%20Yasoukyoku%20%28Japan%29%20%28v1.0%29.7z
Akagawa Jiro - Yasoukyoku (Japan) (v1.1);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Akagawa%20Jiro%20-%20Yasoukyoku%20%28Japan%29%20%28v1.1%29.7z
Akagawa Jiro - Yasoukyoku 2 (Japan);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/psxj/psxjap/Akagawa%20Jiro%20-%20Yasoukyoku%202%20%28Japan%29.7z
Akazu no Ma (J);http://162.210.194.49/113LAJdnnkhry2Jfgs27jHaA/may/PSX-Asia/Akazu%20no%20Ma%20%28J%29%20%5BSLPS-00619%5D.rar
